year,finits
1980,-1.56630826679
1981,-1.9930065202
1982,-2.01246349536
1983,-1.71978991896
1984,-1.83724533971
1985,-1.27684899334
1986,-0.983905919896
1987,-1.02192341186
1988,-0.927685571254
1989,-1.00247299047
1990,-1.07852014044
1991,-0.837760996556
1992,-0.672220868864
1993,-0.311074414121
1994,-0.345622227419
1995,-0.254984198245
1996,-0.0825745205838
1997,0.0567339057886
1998,0.189847547504
1999,-0.142833191728
2000,-0.440286665534
2001,-0.446782301623
2002,-0.552812445258
2003,-0.9314597141179999
2004,-0.417195861174
2005,-0.2967512065
2006,-3.1678712844919508
2007,-3.1877533052236164
2008,-3.186903959968001
2009,-3.210211758486781
2010,-3.214229602739903
2011,-3.2283656076848906
2012,-3.219088307305771
2013,-3.22076317124862
2014,-3.236768873654171
2015,-3.236947573816202
2016,-3.2526705144693704
2017,-3.247239901980048
2018,-3.2342288933521384
